"DatePosted","CVE","BulletinKB","Title","AffectedProduct","AffectedComponent","Severity","Impact","Supersedes","Exploits"
# Service Packs
"20150407","SP81U1X86","2919355","Windows 8.1 Update 1 for 32-bit Systems (KB2919355)","Windows 8.1 for 32-bit Systems","","Critical","No more updates","2883200;SP81X86",""
"20150407","SP81U1X64","2919355","Windows 8.1 Update 1 for x64-based Systems (KB2919355)","Windows 8.1 for x64-based Systems","","Critical","No more updates","2883200;SP81X64",""
"20130827","SP81X86","SP81X86","Windows 8.1 for 32-bit Systems","Windows 8 for 32-bit Systems","","Critical","No more updates","",""
"20130827","SP81X64","SP81X64","Windows 8.1 for x64-based Systems","Windows 8 for x64-based Systems","","Critical","No more updates","",""
"20110315","SP7X86SP1","976932","Windows 7 for 32-bit Systems Service Pack 1 (KB976932)","Windows 7 for 32-bit Systems","","Critical","No more updates","",""
"20110315","SP7X64SP1","976932","Windows 7 for x64-based Systems Service Pack 1 (KB976932)","Windows 7 for x64-based Systems","","Critical","No more updates","",""
"20150515","SP7X86SP2","3125574","Update for Windows 7 (KB3125574)","Windows 7 for 32-bit Systems Service Pack 1","","Critical","","976932",""
"20150515","SP7X64SP2","3125574","Update for Windows 7 for x64-based Systems (KB3125574)","Windows 7 for x64-based Systems Service Pack 1","","Critical","","976932",""
"20080318","SPVX86SP1","936330","Windows Vista Service Pack 1 (KB936330)","Windows Vista","","Critical","No more updates","",""
"20080318","SPVX64SP1","936330","Windows Vista x64 Edition Service Pack 1 (KB936330)","Windows Vista x64 Edition","","Critical","No more updates","",""
"20090525","SPVX86SP2","948465","Windows Vista Service Pack 2 (KB948465)","Windows Vista Service Pack 1","","Critical","No more updates","936330",""
"20090525","SPVX86SP2","948465","Windows Vista x64 Edition Service Pack 2 (KB948465)","Windows Vista x64 Edition Service Pack 1","","Critical","No more updates","936330",""
"20020909","SPXPSP1","324722","Microsoft Windows XP Service Pack 1 (KB324722)","Microsoft Windows XP","","Critical","No more updates","",""
"20040825","SPXPSP2","835935","Microsoft Windows XP Service Pack 2 (KB835935)","Microsoft Windows XP Service Pack 1","","Critical","No more updates","324722",""
